,,,,,,,,,
,,,,,,,,,
1,Direction,,,Distance,2,Direction,,,Distance
FL,0,0,0,96.8235,,142,4,14,23.2661
FR,179,59,48,96.8233,,322,4,13,23.2662
,,,,,,,,,
2,,,,,3,,,,
FL,0,0,1,23.2685,,342,25,50,23.7688
FR,179,59,46,23.2684,,162,25,49,23.7689
,,,,,,,,,
3,,,,,6,,,,
FL,0,0,0,23.7609,,206,39,12,58.1806
FR,180,0,8,23.7607,,26,39,6,58.1804
,,,,,,,,,
6,,,,,5,,,,
FL,0,0,3,58.1855,,251,46,4,26.6075
FR,180,0,3,58.1857,,71,46,9,26.6079
5,,,,,4,,,,
FL,0,0,3,26.6126,,163,5,30,34.7903
FR,180,0,5,26.6126,,343,5,36,34.7901
