Point ID,Easting,Northing,Height
1024,320442.6931,5814998.0884,46.1371
1023,320442.8671,5815001.5091,46.1733
1022,320438.2732,5815007.6894,46.2596
1021,320442.0104,5815043.7529,46.4138
1020,320441.1435,5815034.5388,46.4599
1019,320437.2188,5815015.9401,46.3383
1018,320451.9844,5814987.2087,46.4064
1017,320421.4643,5814992.5059,44.5330
1016,320443.0552,5815015.2276,46.4118
1015,320452.8482,5815009.4793,46.1353
1014,320454.6301,5815007.8803,46.1203
1013,320455.8864,5815001.1530,46.1635
1012,320455.8722,5814999.7323,46.2393
1011,320456.3476,5814997.4604,46.2563
1010,320456.5742,5814994.8013,46.2485
1009,320456.0134,5814992.5661,46.2569
1008,320453.4555,5814991.8255,46.2355
1007,320451.4583,5814993.1943,46.1947
1006,320452.5583,5814996.1749,46.1840
1005,320452.7340,5814999.1613,46.2240
1004,320451.4769,5815001.8164,46.2310
1003,320449.9806,5815004.6669,46.2220
1002,320449.6704,5815007.4337,46.2378
1001,320450.5871,5815009.6754,46.1933
5009,320444.1350,5815026.9260,46.2780
CP2,320445.8398,5815003.7220,46.1790
CP5,320467.8526,5815089.9143,46.4500
CP6,320441.9640,5815083.7658,44.7600
CP3,320437.0226,5815025.7918,46.2210
5010,320505.8040,5814975.6230,45.0810
5008,320497.8900,5815107.4560,46.3950
5007,320577.9470,5815103.5450,46.4100
5006,320616.2550,5815029.8800,46.6980
5005,320590.2690,5814955.2810,45.8300
